"subject" "activity" "tBodyAccMeanX" "tBodyAccMeanY" "tBodyAccMeanZ" "tBodyAccStdX" "tBodyAccStdY" "tBodyAccStdZ" "tGravityAccMeanX" "tGravityAccMeanY" "tGravityAccMeanZ" "tGravityAccStdX" "tGravityAccStdY" "tGravityAccStdZ" "tBodyAccJerkMeanX" "tBodyAccJerkMeanY" "tBodyAccJerkMeanZ" "tBodyAccJerkStdX" "tBodyAccJerkStdY" "tBodyAccJerkStdZ" "tBodyGyroMeanX" "tBodyGyroMeanY" "tBodyGyroMeanZ" "tBodyGyroStdX" "tBodyGyroStdY" "tBodyGyroStdZ" "tBodyGyroJerkMeanX" "tBodyGyroJerkMeanY" "tBodyGyroJerkMeanZ" "tBodyGyroJerkStdX" "tBodyGyroJerkStdY" "tBodyGyroJerkStdZ" "tBodyAccMagMean" "tBodyAccMagStd" "tGravityAccMagMean" "tGravityAccMagStd" "tBodyAccJerkMagMean" "tBodyAccJerkMagStd" "tBodyGyroMagMean" "tBodyGyroMagStd" "tBodyGyroJerkMagMean" "tBodyGyroJerkMagStd" "fBodyAccMeanX" "fBodyAccMeanY" "fBodyAccMeanZ" "fBodyAccStdX" "fBodyAccStdY" "fBodyAccStdZ" "fBodyAccJerkMeanX" "fBodyAccJerkMeanY" "fBodyAccJerkMeanZ" "fBodyAccJerkStdX" "fBodyAccJerkStdY" "fBodyAccJerkStdZ" "fBodyGyroMeanX" "fBodyGyroMeanY" "fBodyGyroMeanZ" "fBodyGyroStdX" "fBodyGyroStdY" "fBodyGyroStdZ" "fBodyAccMagMean" "fBodyAccMagStd" "fBodyBodyAccJerkMagMean" "fBodyBodyAccJerkMagStd" "fBodyBodyGyroMagMean" "fBodyBodyGyroMagStd" "fBodyBodyGyroJerkMagMean" "fBodyBodyGyroJerkMagStd"
1 "laying" 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.90772000676 -0.85236629022 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 -0.9241492736 -0.9548551108 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 -0.9510904402 -0.9082846626 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.9679072436 -0.9577901596 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8336255561 -0.81289155944 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.9322178704 -0.9605869872 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.9512320494 -0.9165825082 -0.8617676481 -0.7983009404 -0.9333003608 -0.9218039756 -0.8621901854 -0.82431943968 -0.9423669466 -0.9326606676
1 "sitting" 0.2601485371875 -0.00175483517979167 -0.105833875333333 -0.976741854166667 -0.922799927083333 -0.935138390625 0.807866772916667 0.219283916375 0.318166383333333 -0.966891678958333 -0.935894990833333 -0.944574267916667 0.0781065462083333 0.000417808731249999 -0.000157574592916667 -0.98655573 -0.981597891875 -0.987896040416667 -0.0459246795854167 -0.0917103068125 0.064074856375 -0.977140252708333 -0.967106227083333 -0.942071801458333 -0.0942522507083333 -0.0402085253125 -0.0462415405833333 -0.991625205 -0.989716612291667 -0.987841869791667 -0.946934501041667 -0.924507473125 -0.946934501041667 -0.924507473125 -0.987425840833333 -0.984258787291667 -0.931269190625 -0.935199516666667 -0.992000282708333 -0.988366213333333 -0.979327928958333 -0.944211555208333 -0.956390402916667 -0.975858558958333 -0.91745713 -0.92958935125 -0.986726360625 -0.981792513958333 -0.986074725 -0.98760007875 -0.982739696875 -0.988282799166667 -0.975921010625 -0.9762895725 -0.951544211458333 -0.977879075416667 -0.963053290416667 -0.944653648958333 -0.94578237875 -0.925982125 -0.985347835625 -0.981816157083333 -0.958784303125 -0.932914063958333 -0.989815107291667 -0.987151987916667
1 "standing" 0.27883140462963 -0.0160658698240741 -0.110581293518519 -0.995724802962963 -0.973268410185185 -0.97995292462963 0.942475797407407 -0.265719012407407 0.0176589172796296 -0.993795698518519 -0.981281636481481 -0.976701433333333 0.0752861807222222 0.00806407291111111 -0.00311913390733333 -0.994552573888889 -0.985759124259259 -0.992245481666667 -0.0241001118757407 -0.0599659536666667 0.0749902386666667 -0.987195127222222 -0.98734304037037 -0.980530454444444 -0.0998623924814815 -0.0449103674444444 -0.0496271308259259 -0.993001900925926 -0.99505395037037 -0.99208317 -0.984367288148148 -0.982137797037037 -0.984367288148148 -0.982137797037037 -0.992388045 -0.99307756537037 -0.976690907592593 -0.97810029462963 -0.994971020740741 -0.994598919444444 -0.995188308148148 -0.977211963518518 -0.985288867037037 -0.996005965185185 -0.972331352037037 -0.978214307222222 -0.994586325 -0.98552033537037 -0.990720417222222 -0.995016598888889 -0.987133167222222 -0.992376629444444 -0.98628686462963 -0.988406080555556 -0.980487645 -0.987534285740741 -0.986858365925926 -0.982312217407407 -0.985509637592593 -0.982489977222222 -0.992529481481481 -0.992506453148148 -0.983814805555556 -0.978142851111111 -0.994709250740741 -0.994508247777778
1 "walking" 0.277355449895833 -0.017367408084375 -0.11112491465625 -0.291188300729167 0.102914033447917 -0.267651698229167 0.935112019270833 -0.2827958528125 -0.0678356006979167 -0.9768412165625 -0.9715936934375 -0.9482221875 0.0740804082916667 0.0281265160927083 -0.00396583884270833 -0.122834112410417 0.0559719505520833 -0.507812855833333 -0.0417014965101042 -0.0695720704072917 0.0850052280302083 -0.478927653541667 -0.0644118087776042 -0.3510370225 -0.0901654689083333 -0.0398300996552083 -0.0461661531635417 -0.215638405541667 -0.311687940416667 -0.410416629375 -0.145936855134375 -0.227783532864583 -0.145936855134375 -0.227783532864583 -0.150332097479167 -0.084070456936875 -0.169652374385417 -0.1953614259375 -0.30598149971875 -0.332339784635417 -0.211083704697917 0.0784435778979167 -0.338426589479167 -0.326214621354167 0.0450964685455208 -0.287111935958333 -0.179172422418854 -0.0451847943827187 -0.474456298854167 -0.14259835178125 0.09528018602 -0.539483585104167 -0.345811319958333 -0.112357680638542 -0.263619995 -0.521638278541667 -0.0435321374989583 -0.4423805328125 -0.13766336239375 -0.404269053020833 -0.0668907608672917 -0.11278992245 -0.207521296496875 -0.328007447604167 -0.32638326259375 -0.388033282395833
1 "walkingDownstairs" 0.288005331 -0.010160630058 -0.10737238279 0.02294313078142 -0.03027572664 -0.23330474114 0.9317093686 -0.2674070438 -0.063177892222 -0.9508345396 -0.9379408596 -0.8972721992 0.0545724643 0.03903766606 -0.011117502498 -0.014226302334 -0.099069133228 -0.34922462428 -0.034571723635 -0.09173801964 0.090406609119 -0.45842315928 -0.12533512908 -0.129181758158 -0.0740888211946 -0.04174559081 -0.024596975684 -0.481878025 -0.23926335018 -0.271171298438 0.0222460951824 0.015261986614 0.0222460951824 0.015261986614 -0.091171555382 -0.026185024614 -0.07798101248 -0.2250777161 -0.29519759168 -0.30608014542 0.033076614288 0.0031356543192 -0.22949301166 0.016428477556 -0.111341311214 -0.299903481 -0.03024436126 -0.127173142456 -0.292618044 -0.0873693313074 -0.13100531112 -0.4043937804 -0.352565908736 -0.05632241474 -0.036113237454 -0.49582784218 -0.179294777364 -0.242603425 0.091304366818 -0.189989590252 0.024801159094 -0.103035266752 -0.18581135143 -0.39713331912 -0.282353921594 -0.39035250008
1 "walkingUpstairs" 0.256028413888889 -0.0231984647038889 -0.0985210896481482 -0.347573600333333 -0.00590349418333333 -0.0231576160907407 0.893850129814815 -0.360410358888889 -0.0753224904444444 -0.956221738333333 -0.95241297537037 -0.912684112407407 0.0851104439981482 0.0215620982185185 -0.0337967085240741 -0.438440872946296 -0.376306792592593 -0.696921612777778 0.0559424399444444 -0.167703698142593 0.0607183235018518 -0.54803656037037 0.00141695335740741 -0.500015143333333 -0.122605607122222 -0.04792326885 -0.0382872146587037 -0.614090106296296 -0.593822681851852 -0.599709311296296 -0.127390229712963 -0.319645834203704 -0.127390229712963 -0.319645834203704 -0.459791155 -0.468510508777778 -0.126861996451852 -0.152341602162963 -0.589196272592593 -0.640625185740741 -0.394088203333333 -0.190489269685185 -0.428099364074074 -0.331541232277778 0.0164796473111111 0.0782999722666667 -0.470384161444444 -0.411146261111111 -0.674709026111111 -0.455523462962963 -0.380323353518519 -0.717453581851852 -0.49437989 -0.314708891796296 -0.446444491888889 -0.569451488333333 0.145031860092593 -0.565185151851852 -0.345314674388889 -0.412759230555556 -0.431579929814815 -0.523471365222222 -0.323776703555556 -0.190840556444444 -0.626398478888889 -0.687048508148148
2 "laying" 0.282356670408163 -0.0187230486204082 -0.106458817265306 -0.96124528122449 -0.962075132285714 -0.962900771122449 -0.481595309795918 0.729229034693878 0.631546931632653 -0.959487275102041 -0.988026258367347 -0.983046266530612 0.0792206850204082 0.00889980827938775 0.000308337144897959 -0.975015895714286 -0.970247780612245 -0.98291562122449 -0.0246458811020408 -0.106456104285714 0.145508332306122 -0.982786379591837 -0.960749253857143 -0.952021467142857 -0.099120212 -0.0401304127591837 -0.0706047200204082 -0.985736581020408 -0.981949305918367 -0.979519527346939 -0.960381618367347 -0.957989262244898 -0.960381618367347 -0.957989262244898 -0.977522599387755 -0.974062845102041 -0.933380443265306 -0.945803506938775 -0.983707529387755 -0.983176847959184 -0.964736501632653 -0.963726571836735 -0.972995283673469 -0.960115236326531 -0.962926985081633 -0.960875572244898 -0.975436579591837 -0.97022925 -0.980217685714286 -0.976849165510204 -0.97251954755102 -0.984257759795918 -0.978565788979592 -0.97026983122449 -0.952925846122449 -0.984150384897959 -0.956633839387755 -0.956175806122449 -0.961501077959184 -0.961890436530612 -0.973735383469388 -0.973445547755102 -0.959737218979592 -0.946439669795918 -0.983703762040816 -0.983421661632653
2 "sitting" 0.277033627021277 -0.0156894327765957 -0.109242839851064 -0.986960194255319 -0.951531957021277 -0.960537374255319 0.913458828510638 -0.0866387229137021 0.207131468574468 -0.980370196808511 -0.957585087659575 -0.955251207021277 0.0725840080638298 0.0118518100870213 0.00714151803702128 -0.98806311893617 -0.978128714468085 -0.987619142978723 -0.0450869890425532 -0.0604959680297872 0.042155239787234 -0.985986203617021 -0.978515097021277 -0.960318240425532 -0.0937635283191489 -0.0419200415957447 -0.0439639001468085 -0.989842949361702 -0.990623914042553 -0.98558471106383 -0.968491936595745 -0.953878965106383 -0.968491936595745 -0.953878965106383 -0.986870547659574 -0.984542123829787 -0.946963770638298 -0.960941309787234 -0.991098381914894 -0.989217468723404 -0.985867968510638 -0.957924159787234 -0.970647017659575 -0.987549045319149 -0.950976843191489 -0.957630613404255 -0.98784484 -0.977248068510638 -0.985247905957447 -0.989479197021277 -0.980996895957447 -0.988651206595745 -0.982900808723404 -0.981484960212766 -0.960234246170213 -0.987040456382979 -0.977092402553192 -0.964026428510638 -0.961834044255319 -0.956380634893617 -0.983956402978723 -0.984161652340426 -0.971190966595745 -0.96126346212766 -0.989479707659574 -0.989286817234043
2 "standing" 0.277865927818182 -0.0184391205072727 -0.1058675514 -0.987391317636364 -0.957647052727273 -0.950150677090909 0.897511233090909 -0.365707003090909 0.132169220836364 -0.986864733090909 -0.974580919818182 -0.946536214727273 0.0746934928181818 0.0100002110452727 -0.00827845966054546 -0.981251830181818 -0.971174631818182 -0.983001395090909 -0.0239196233790909 -0.0818566482 0.0879421696654545 -0.973372721636364 -0.971592120181818 -0.965100509818182 -0.1053426008 -0.0423560776181818 -0.0549319963981818 -0.979569067818182 -0.983566999090909 -0.973823437636364 -0.966209469090909 -0.958375734545455 -0.966209469090909 -0.958375734545455 -0.980634489636364 -0.976892736363636 -0.963845282909091 -0.954413545454545 -0.984088912 -0.977421674 -0.984089345272727 -0.960101869636364 -0.962853219818182 -0.989162072909091 -0.958286327090909 -0.946815381636364 -0.981130533090909 -0.970962783636364 -0.979977133818182 -0.983169311818182 -0.973630403090909 -0.984712516727273 -0.967465059454545 -0.972747414181818 -0.960854194545455 -0.975343873818182 -0.971169803090909 -0.969980852727273 -0.964411029090909 -0.961015898363636 -0.977247274363636 -0.975427825818182 -0.962133128545455 -0.957245283090909 -0.978059081636364 -0.977960802545455
2 "walking" 0.276428696 -0.018531656266 -0.105405464433333 -0.433077975 -0.09316266259 -0.434631027833333 0.912439407 -0.347543059333333 0.085968019 -0.973046770333333 -0.972435845833333 -0.9724301695 0.0618161719508333 0.01813804903 0.00841279268166667 -0.289426315076667 -0.0327362235133333 -0.592815243166667 -0.0527691422558333 -0.04817097895 0.0825706687833333 -0.568148958333333 -0.545567186833333 -0.48895506 -0.0829065467 -0.0538100953583333 -0.052065492505 -0.399395770166667 -0.639947751333333 -0.4446775555 -0.302093014666667 -0.431836446 -0.302093014666667 -0.431836446 -0.29326943815 -0.177834080041667 -0.4553146315 -0.559014876833333 -0.555247596 -0.5647726565 -0.356694071166667 -0.03789675466 -0.462596257666667 -0.466565949 -0.182781331266667 -0.464189567666667 -0.3160435405 -0.0938299084333333 -0.562156166333333 -0.325631135183333 -0.0315543338083333 -0.62214965 -0.4382613015 -0.5616663115 -0.405883753 -0.610022011 -0.540222033833333 -0.5665003165 -0.335167398466667 -0.583893327166667 -0.182638323766667 -0.177791785291667 -0.537343053166667 -0.656208377833333 -0.589833234666667 -0.565050937666667
